CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,auc,spearman_r,count_missing,sigmoid_4_param_r2,sigmoid_4_param
L-363,924239,133,133_924239,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.997947438,1.030370069,1.007677606,0.962151282,0.874349532,0.769203407,0.61577683,0.31633392,0.09184058,Doxorubicin,L-363,0.7910811527938358,-0.9030303030303028,0,0.9966971262621913,[ 0.92785299  0.74212933 -7.01555284 -0.32975149]
EN,1240127,245,245_1240127,2,40.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.894637923,0.974039273,0.967877513,1.013923388,0.967199013,1.0101855,0.508840233,0.06048088,0.005275258,UNC0638,EN,0.7666468171128032,-0.5636363636363636,0,0.9921044015996119,[ 7.77558807e-01  1.06097320e+00 -1.79047951e+02  3.28780687e-02]
PFSK-1,683667,252,252_683667,2,1.28,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.011667337,1.032963279,1.031117227,1.003801504,0.968998142,0.822694059,0.604600795,0.236553134,0.031153438,WZ3105,PFSK-1,0.8031080219610696,-0.8424242424242423,0,0.9982825884574055,[  0.83057149   0.88608159 -11.06717094  -0.10844848]
TGW,910780,9,9_910780,2,1.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.944777011,0.972552541,0.916021263,1.008916465,0.994548572,0.982620247,0.999793043,0.805326405,0.023918288,MG-132,TGW,0.9040571879865642,-0.3939393939393939,0,0.9912334043901554,[ 8.99120547e-01  1.04878321e+00 -1.43233496e+02  2.39177575e-02]
SBC-5,713880,269,269_713880,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.971252709,1.01234387,1.014673079,0.986870383,1.0311916,1.019591429,1.016495162,0.550049517,0.003577471,NSC-207895,SBC-5,0.9004729428307802,-0.1272727272727272,0,0.9973587225261877,[ 8.90000694e-01  9.97034000e-01 -1.64466433e+02  3.57745703e-03]
NB1,949179,104,104_949179,2,0.02,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.985133548,1.009546666,0.98386194,0.989480058,1.042316071,1.057885526,0.619907103,0.197360784,0.163293186,Bortezomib,NB1,0.8296820322973272,-0.4787878787878787,0,0.994846823558776,[ 7.77440678e-01  1.20566285e+00 -1.98538101e+02  1.80326983e-01]
IOSE-75-16SV40,1479994,245,245_1479994,2,40.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.939048522,1.015674405,1.055151506,1.001980495,0.969905552,1.027659385,0.917113233,0.384133865,0.04524409,UNC0638,IOSE-75-16SV40,0.8703654454489108,-0.5393939393939393,0,0.9913833176643198,[ 8.68770602e-01  1.01375001e+00 -2.64011344e+01  1.51500126e-02]
NCI-H2030,722045,273,273_722045,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.011237864,1.02496901,0.972617477,0.954763785,0.867232041,0.641786532,0.260423295,0.136828203,0.143341505,CUDC-101,NCI-H2030,0.7157254401397171,-0.9393939393939392,0,0.9966357118813732,[  0.67588928   1.13671789 -15.65857133   0.11584301]
NCI-H3122,1240190,308,308_1240190,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,1.083599831,1.067050257,1.052609375,0.993778008,0.857548242,0.616956825,0.341555917,0.19382279,0.008757708,WIKI4,NCI-H3122,0.7457000111799631,-0.9272727272727272,0,0.9940176814660041,[ 0.72386672  0.90860117 -9.21306044 -0.0359339 ]
DOHH-2,906842,17,17_906842,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.951159665,0.898526487,0.92696112,0.951566815,0.902923702,0.83626552,0.733636106,0.47238295,0.092517594,Cyclopamine,DOHH-2,0.8021867959028364,-0.8787878787878788,0,0.9920371206001813,[ 1.17541668  0.43845674 -7.55450749 -1.32864436]
HT-1080,907064,291,291_907064,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.946692503,0.935042648,0.959873304,0.924684089,0.958349406,0.975889035,0.981422152,0.980085746,0.059126951,KIN001-266,HT-1080,0.910178039864672,-0.103030303030303,0,0.993626364664508,[   1.02330467    0.19261537 -137.51075796   -4.22924446]
TF-1,1331044,45,45_1331044,2,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.9617043,1.007665237,0.958218283,1.004442837,0.967232718,1.009814341,0.959442218,0.131195069,0.028161125,Z-LLNle-CHO,TF-1,0.8348661740954161,-0.4909090909090908,0,0.9975051457933337,[ 8.46436624e-01  1.04250046e+00 -5.07648570e+01  2.77694525e-02]
