alpha-lipoic acid,"2498","Metabolism","Metabolism","cnaPANCAN183","9","724",".00059401696794478904","7.6557911327705597","7.6563684381603583","","",".99891315836302708","-.00057730538979861024","1.2282790634198577",".96865003055312682",".74168099741180138",".0000000000000000000000000000000000017984389397725042",".16498715957998966","86.888333176701565","PANCANCER","GDSC2"
alpha-lipoic acid,"2498","Metabolism","Metabolism","cnaPANCAN184","75","658",".14300005527459864","7.5317216769961775","7.6705679994655354","","",".22180718921428694","-.13884632246935791",".92042723073928012",".97647999901284632",".30741608022715783",".0000000000000000000000000000000000015936774568673079",".16470782318244312","82.96059443332561","PANCANCER","GDSC2"
alpha-lipoic acid,"2498","Metabolism","Metabolism","cnaPANCAN185","13","720",".43240571521014748","7.244246154471619","7.6638023186318112","","",".35543985666322786","-.41955616416019215","1.569437667563141",".95710685967405174",".37218035473445987",".000000000000000000000000000000000001645168696688752",".16478126301400337","84.733397144241835","PANCANCER","GDSC2"
alpha-lipoic acid,"2498","Metabolism","Metabolism","cnaPANCAN186","4","729",".68336110280641138","6.9966872681872374","7.6599809606999809","","",".055614752613311169","-.6632936925127435",".44182870123729645",".97221849908454405",".29127888396658269",".0000000000000000000000000000000000015788827111566954",".1646862890001104","82.03202212709661","PANCANCER","GDSC2"
alpha-lipoic acid,"2498","Metabolism","Metabolism","cnaPANCAN187","6","727",".36549290197970469","7.3042499139228765","7.6592673589264066","","",".24799078426683252","-.35501744500353016",".66232628881185374",".97312684182805642",".575512840383956",".0000000000000000000000000000000000017513520077222263",".16492580736272439","85.062303080419127","PANCANCER","GDSC2"
alpha-lipoic acid,"2498","Metabolism","Metabolism","cnaPANCAN188","5","728",".28727296629190296","7.3791524159156978","7.658265257339913","","",".43146971835137504","-.27911284142421522",".71152459903239174",".97283314764134654",".72248380023187042",".0000000000000000000000000000000000017943754672594515",".16498192787365859","86.888333176701565","PANCANCER","GDSC2"
alpha-lipoic acid,"2498","Metabolism","Metabolism","cnaPANCAN189","9","724",".044965718662873494","7.6995249393384251","7.6558247858687691","","",".8976495866960208",".043700153469655945",".98216950155280669",".97174014418079291",".87816925491657893",".0000000000000000000000000000000000018183764106655057",".1650126612710813","86.888333176701565","PANCANCER","GDSC2"
alpha-lipoic acid,"2498","Metabolism","Metabolism","cnaPANCAN190","13","720",".18855408947444971","7.8363049573075552","7.6531123680250515","","",".23292309670138403",".1831925892825037",".51254344340859703",".97739893270012024",".92263545691465132",".0000000000000000000000000000000000018216908249067117",".16501687393913447","86.888333176701565","PANCANCER","GDSC2"
alpha-lipoic acid,"2498","Metabolism","Metabolism","cnaPANCAN191","13","720",".31638007615908215","7.9581237002949496","7.6509128629433336","","",".1936559270021089",".30721083735161603",".7961990037548673",".97366971921839141",".98279613771647756",".0000000000000000000000000000000000018238065831649995",".16501955914796254","88.658734252410937","PANCANCER","GDSC2"
alpha-lipoic acid,"2498","Metabolism","Metabolism","cnaPANCAN192","15","718",".14930319032192307","7.7984629758624333","7.6533926529040368","","",".5393734855514396",".1450703229583965",".88297309291248549",".97330024236012758",".51079256451399946",".0000000000000000000000000000000000017245899044162925",".16489020846349614","85.062303080419127","PANCANCER","GDSC2"
alpha-lipoic acid,"2498","Metabolism","Metabolism","cnaPANCAN193","44","689",".075243257481805048","7.5876355104132465","7.6607502278154591","","",".6230035588890831","-.073114717402212648",".94896310348406199",".97311531918187466",".49835671039877771",".0000000000000000000000000000000000017187939478972018",".16488242695944685","85.062303080419127","PANCANCER","GDSC2"
alpha-lipoic acid,"2498","Metabolism","Metabolism","cnaPANCAN194","40","693",".087145342669362427","7.5763051615381105","7.6609821976356569","","",".58170761236292989","-.084677036097546399",".93617164837314393",".97363840631249754",".5101491267009941",".0000000000000000000000000000000000017242955104270874",".16488981383968182","85.062303080419127","PANCANCER","GDSC2"
alpha-lipoic acid,"2498","Metabolism","Metabolism","cnaPANCAN195","37","696",".010578883194389276","7.6661236168233913","7.6558423787364518","","",".94629215136748157",".010281238086939481",".89481059949222197",".97568973731980635",".94246727403005459",".0000000000000000000000000000000000018226869818948699",".16501813859192729","87.705945059579221","PANCANCER","GDSC2"
alpha-lipoic acid,"2498","Metabolism","Metabolism","cnaPANCAN196","37","696",".068898966465479092","7.7199347146896313","7.652981731292412","","",".66147856623834511",".066952983397219334",".89547016204612762",".97554499736372691",".42104119481785163",".0000000000000000000000000000000000016772296614723553",".16482585379188114","84.733397144241835","PANCANCER","GDSC2"
alpha-lipoic acid,"2498","Metabolism","Metabolism","cnaPANCAN197","37","696",".068898966465479092","7.7199347146896313","7.652981731292412","","",".66147856623834511",".066952983397219334",".89547016204612762",".97554499736372691",".42104119481785163",".0000000000000000000000000000000000016772296614723553",".16482585379188114","84.733397144241835","PANCANCER","GDSC2"
alpha-lipoic acid,"2498","Metabolism","Metabolism","cnaPANCAN198","37","696",".034471960260752471","7.6881714917399959","7.654670293431975","","",".826056039080171",".033501198308020896",".89342971578610619",".975728948940222",".71087991815565732",".0000000000000000000000000000000000017917580049032408",".16497855171039302","86.888333176701565","PANCANCER","GDSC2"
alpha-lipoic acid,"2498","Metabolism","Metabolism","cnaPANCAN199","37","696",".045264563761947374","7.6981298600185442","7.6541408974171672","","",".7694157072733494",".043988962601376969",".8783503280343754",".97641682723569312",".72225250783322326",".0000000000000000000000000000000000017943244932309777",".16498186217059674","86.888333176701565","PANCANCER","GDSC2"
